ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
342;IRISH MOSS       ;100;81,3;8;33;1,5;0;1,5;0,2;0;0,2;0,04;0,01;0,02;0;0;0,06;0,07;0;0;0;0;12,3;0;8,9;72;67;63;160;1,9;0,01;0,47;0,6;3;0,07;182;12;0;72;0,87;0;1;8022;2011;IRISH MOSS [CHONDRUS CRISPUS], fresca
343;ITALICO (tipo Bel Paese)     ;100;38,9;374;1565;25,4;25,4;0;30,2;30,2;0;14,67;7,89;8,56;0,26;0,31;0;0,57;90;0,1;0;0,1;0;0;0,6;604;630;111;480;2,5;0,07;0,3;0,3;0;0,09;40;248;217;186;0,7;0,24;1;1700;7001;ITALICO (tipo Bel Paese)
344;KAKI O LOTI      ;97;82;65;272;0,6;0;0,6;0,3;0;0,3;0,03;0,06;0,06;0,06;0,01;0;0,07;0;16;0;16;2,5;0;0,3;8;4;170;16;0,1;0,02;0,03;0,3;23;0,1;8;237;0;1422;0,59;0;1;415;4001;KAKI O LOTI [DIOSPYROS KAKI]
345;KIWI        ;87;84,6;44;184;1,2;0;1,2;0,6;0;0,6;0,04;0,05;0,05;0,28;0,05;0;0,33;0;9;0;9;2,6;0;0,5;25;5;400;70;0,1;0,02;0,05;0,4;85;0,15;38;6;0;37;1,12;0;1;429;4001;KIWI [ACTINIDIA DELICIOSA]
346;KOMBU   secca     ;100;12,7;43;180;7,1;0;7,1;1,6;0;1,6;0,71;0,25;0,28;0,06;0,01;0,07;0,13;0;0;0;0;58,7;0;12,7;900;1830;450;210;6,2;0,07;0,26;2,1;13;0,01;180;57;0;340;0,87;0;1;8024;2011;KOMBU [LAMINARIA spp], secca
347;LAMPONI        ;100;84,6;34;142;1;0;1;0,6;0;0,6;0,02;0,05;0,06;0,23;0,11;0;0,34;0;6,5;0;6,5;7,4;0;1;49;3;220;52;0,4;0,05;0,02;0,5;25;0,07;39;13;0;78;0,57;0;1;412;4001;LAMPONI [RUBUS IDAEUS]
348;LARDO        ;100;1;891;3728;0;0;0;99;99;0;34,12;33,63;37,13;25,83;2,94;0;28,77;95;0;0;0;0;0;0,1;1;2;1;3;0;0;0;0;0;0;0;0;0;0;1;0;1;1901;13003;LARDO
349;LATTE DI BUFALA      ;100;82;102;427;4,4;4,4;0;7,3;7,3;0;4,86;1,66;1,89;0,07;0,08;0;0,15;19;5,1;0;5,1;0;0;0,2;160;52;178;117;0,2;0,04;0,12;0,1;3;0,02;6;31;27;23;0,09;0,03;1;100004;6001;LATTE DI BUFALA
350;LATTE DI CAPRA      ;100;86,3;72;301;3,9;3,9;0;4,3;4,3;0;2,82;1,06;1,16;0,1;0,04;0;0,13;12;4,7;0;4,7;0;0;0,1;141;40;180;106;0,6;0,05;0,11;0,3;1;0,07;1;86;86;0;0,05;0,17;1;1600;6001;LATTE DI CAPRA
351;LATTE DI MANDORLE      ;100;96;25;105;0,6;0;0,6;1,5;0;1,5;0,12;1,05;1,06;0,28;0,01;0;0,29;0;2,4;0,7;1,7;0,4;0;0,1;7;0;25;15;0,1;0,01;0,01;0,1;0;0;1;0;0;0;0,69;0;1;3016;4010;LATTE DI MANDORLE
352;LATTE DI PECORA      ;100;82,7;103;431;5,3;5,3;0;6,9;6,9;0;4,54;1,54;1,7;0,18;0,13;0;0,3;13;5,2;0;5,2;0;0;0,1;180;30;182;96;0,7;0,06;0,25;0,5;5;0,08;5;53;53;0;0,13;0,21;1;1601;6001;LATTE DI PECORA
353;LATTE DI SOIA      ;100;89,7;32;134;2,9;0;2,9;1,9;0;1,9;0,21;0,32;0,33;0,73;0,1;0;0,83;0;0,8;0;0,8;0;0;0,4;13;32;120;47;0,2;0,06;0,27;0,1;0;0,07;19;0;0;0;0,74;0;1;700637;3004;LATTE DI SOIA
354;LATTE DI VACCA, CONDENSATO, CON ZUCCHERO   ;100;26,5;327;1368;8,7;8,7;0;9;9;0;5,59;2,46;2,91;0,19;0,13;0;0,32;34;56,5;0;56,5;0;0;0,2;293;130;390;235;1;0,09;0,43;0,2;3;0,07;15;108;98;62;0,17;4,81;1;1605;6003;LATTE DI VACCA, CONDENSATO, CON ZUCCHERO
355;LATTE DI VACCA, INTERO     ;100;87;61;255;3,1;3,1;0;3,4;3,4;0;2,11;0,93;1,1;0,07;0,05;0;0,12;14;4,8;0;4,8;0;0;0,1;119;50;150;93;0,4;0,04;0,18;0,1;1;0,06;6;43;40;20;0,08;0,03;1;1602;6001;LATTE DI VACCA, INTERO
356;LATTE DI VACCA, INTERO UHT    ;100;87;61;255;3,2;3,2;0;3,4;3,4;0;2,11;0,93;1,1;0,07;0,05;0;0,12;14;4,7;0;4,7;0;0;0,3;114;47;150;88;0,4;0,05;0,19;0,1;0;0,04;1;40;36;24;0,06;0,03;1;805018;6001;LATTE DI VACCA, INTERO UHT
357;LATTE DI VACCA, INTERO VITAMINIZZATO    ;100;88;58;243;3,1;3,1;0;3;3;0;1,86;0,82;0,97;0,06;0,04;0;0,11;14;5;0;5;0;0;0;110;50;136;90;0,4;0,1;0,15;1;1;0,06;6;48;42;36;2;0,85;1;100006;6001;LATTE DI VACCA, INTERO VITAMINIZZATO
358;LATTE DI VACCA, INTERO, IN POLVERE   ;100;3,2;484;2025;25,7;25,7;0;24,9;24,9;0;15,45;6,81;8,06;0,51;0,37;0;0,88;109;42;0;42;0;0;0,7;1050;440;1270;728;3,2;0,24;1,31;0,7;4;0,48;46;318;290;170;0,61;0,24;1;1620;6003;LATTE DI VACCA, INTERO, IN POLVERE
359;LATTE DI VACCA, PARZIALMENTE SCREMATO    ;100;88,5;49;205;3,5;3,5;0;1,8;1,8;0;0,89;0,43;0,47;0,05;0,03;0;0,08;7;5;0;5;0;0;0,1;120;46;170;94;0,5;0,04;0,18;0,1;1;0,06;6;21;19;10;0,03;0,01;1;1603;6001;LATTE DI VACCA, PARZIALMENTE SCREMATO
360;LATTE DI VACCA, PARZIALMENTE SCREMATO UHT   ;100;88,5;49;205;3,6;3,6;0;1,8;1,8;0;0,89;0,43;0,47;0,05;0,03;0;0,08;7;4,9;0;4,9;0;0;0,2;110;42;170;89;0,5;0,04;0,18;0,1;0;0,06;2;21;18;15;0,03;0,01;1;700428;6001;LATTE DI VACCA, PARZIALMENTE SCREMATO UHT
361;LATTE DI VACCA, PARZIALMENTE SCREMATO VITAMINIZZATO   ;100;90;45;188;3,1;3,1;0;1,5;1,5;0;0,74;0,36;0,39;0,04;0,02;0;0,07;6;5;0;5;0;0;0,1;110;46;170;90;0,5;0,1;0,15;1;1;0,06;6;48;42;36;2;0,85;1;100007;6001;LATTE DI VACCA, PARZIALMENTE SCREMATO VITAMINIZZATO
362;LATTE DI VACCA, PARZIALMENTE SCREMATO, IN POLVERE  ;100;4,2;418;1749;28,8;28,8;0;12,7;12,7;0;6,28;3,03;3,32;0,35;0,21;0;0,56;66;50,2;0;50,2;0;0;0,7;1124;495;1430;879;3,6;0,32;1,8;0,8;6;0,54;49;164;149;87;0,31;0,12;1;1621;6003;LATTE DI VACCA, PARZIALMENTE SCREMATO, IN POLVERE
363;LATTE DI VACCA, SCREMATO     ;100;90,5;36;151;3,6;3,6;0;0,2;0,2;0;0,14;0,04;0,05;0,01;0;0;0,01;2;5,3;0;5,3;0;0;0,1;122;52;150;97;0,4;0,04;0,18;0,1;1;0,06;5;0;0;0;0;0;1;1604;6001;LATTE DI VACCA, SCREMATO
364;LATTE DI VACCA, SCREMATO IN POLVERE   ;100;5;351;1469;33,1;33,1;0;0,9;0,9;0;0,63;0,18;0,23;0,05;0;0;0,05;22;56,2;0;56,2;0;0;0,9;1323;550;1650;1030;4;0,35;1,8;0,8;6;0,6;51;9;8;3;0,01;0;1;1622;6003;LATTE DI VACCA, SCREMATO IN POLVERE
365;LATTE DI VACCA, SCREMATO UHT    ;100;90,5;36;151;3,7;3,7;0;0,2;0,2;0;0,14;0,04;0,05;0,01;0;0;0,01;2;5,2;0;5,2;0;0;0,2;112;49;150;92;0,4;0,04;0,18;0,1;0;0,05;1;0;0;0;0;0;1;700429;6001;LATTE DI VACCA, SCREMATO UHT
366;LATTE EVAPORATO       ;100;69,1;151;632;8,4;8,4;0;9,4;9,4;0;5,83;2,57;3,04;0,19;0,14;0;0,33;34;8,5;0;8,5;0;0;0,3;290;180;360;260;0,9;0,07;0,42;0,2;1;0,07;11;122;105;100;0,19;0,09;1;1611;6003;LATTE EVAPORATO
367;LATTERIA        ;100;25,4;450;1883;30,7;30,7;0;36,4;36,4;0;22,59;9,96;11,78;0,75;0,54;0;1,29;100;0;0;0;0;0;0,3;1057;670;99;610;2,3;0,03;0,68;0,4;0;0,11;12;327;294;203;0,58;0,25;1;1716;7001;LATTERIA
368;LATTERINI        ;100;73,2;145;607;14,6;14,6;0;9,6;9,6;0;2,18;1,47;2,56;0,13;0;3,65;3,78;60;0;0;0;0;0;0;888;120;360;350;1;0;0,22;6,7;0;0,39;4;113;113;0;0,29;11;1;1310;11001;LATTERINI [ATHERINA BOYERI]
369;LATTUGA        ;80;94,3;19;79;1,8;0;1,8;0,4;0;0,4;0,05;0,01;0,01;0,06;0,15;0;0,21;0;2,2;0;2,2;1,5;0;0,8;45;9;240;31;0,2;0,05;0,18;0,7;6;0,05;64;229;0;1374;0,66;0;1;331;2008;LATTUGA [LACTUCA SATIVA]
370;LATTUGA A CAPPUCCIO      ;92;92,2;19;79;1,5;0;1,5;0,2;0;0,2;0,03;0,01;0,01;0,03;0,08;0;0,11;0;3;0;3;1,3;0;1,2;53;7;501;25;0,6;0,08;0,18;0,3;27;0,11;79;237;0;1422;0,79;0;1;332;2008;LATTUGA A CAPPUCCIO [LACTUCA SATIVA, CV CAPITATA]
371;LATTUGA DA TAGLIO      ;83;95,6;14;59;1,1;0;1,1;0,1;0;0,1;0,01;0;0;0,02;0,04;0;0,05;0;2,2;0;2,2;1,9;0;0,9;46;9;264;22;0,3;0,04;0,09;0,4;59;0,06;50;194;0;1164;0,44;0;1;333;2008;LATTUGA DA TAGLIO [LACTUCA SATIVA, CV ACEPHALA]
372;LENTICCHIE   secche     ;100;11,6;325;1360;25;0;25;2,5;0;2,5;0,34;0,42;0,42;0,91;0,26;0;1,17;0;54;51,6;2,4;13,7;0;5,1;127;8;980;347;3,3;0,57;0,2;1,8;3;0,93;110;10;0;60;0,52;0;1;204;3001;LENTICCHIE [LENS ESCULENTA], secche
373;LENTICCHIE IN SCATOLA      ;100;80;61;255;5;0;5;0,4;0;0,4;0,05;0,07;0,07;0,15;0,04;0;0,19;0;10,7;9,6;1,1;5,3;0;1,2;19;399;208;77;0,5;0,11;0,04;0,4;0;0,17;18;3;0;20;0,19;0;1;100140;3001;LENTICCHIE IN SCATOLA
374;LEPRE   COSCIO     ;80;70;121;506;22,8;22,8;0;3,2;3,2;0;0,95;0,74;0,87;0,5;0,12;0;0,62;81;0;0;0;0;0;6,2;64;213;64;226;3,6;0,09;0,06;6,5;0;0,3;5;0;0;0;0,13;0;1;100045;10070;LEPRE [LEPUS EUROPAENUS], COSCIO
375;LIEVITO DI BIRRA, COMPRESSO     ;100;71;56;234;12,1;0;0;0,4;0;0;0,05;0,1;0,22;0;0;0;0;0;1,1;0;1,1;6,9;0;4,9;13;16;610;394;2,6;0,71;1,65;11,2;0;0,6;1250;0;0;0;0;0;1;3003;24015;LIEVITO DI BIRRA, COMPRESSO
376;LIMETTE        ;65;86;38;159;0,7;0;0,7;0,3;0;0,3;0,03;0,02;0,03;0,05;0,03;0;0,08;0;8,8;0;8,8;3,3;0;0;60;3;177;25;0,1;0,06;0,03;0,5;11;0,12;12;40;0;240;0,29;0;1;100182;4001;LIMETTE [CITRUS AURANTIFOLIA]
377;LIMONE        ;64;89,5;11;46;0,6;0;0,6;0;0;0;0;0;0;0;0;0;0;0;2,3;0;2,3;5,2;0;0,1;14;2;140;11;0,1;0,04;0,01;0,3;50;0,08;11;0;0;0;0,19;0;1;413;4001;LIMONE [CITRUS LIMONUM]
378;LIMONE SCORZA       ;100;81,6;69;289;1,5;0;1,5;0,3;0;0,3;0,04;0,01;0,09;0,06;0,03;0;0,09;0;16;0;16;4,7;0;0,8;130;6;160;12;0,1;0,06;0,08;0,4;130;0,17;11;5;0;30;0,19;0;1;606512;4001;LIMONE, SCORZA
379;LINO  SEMI       ;100;6,1;373;1561;24,5;0;24,5;31;0;31;3;0;5,3;4,1;17,1;0;21,2;0;0;0;0;34,8;0;8,2;198;60;725;660;7,8;0,17;0,16;1,4;0;0;60;0;0;0;0,7;0;1;9600;24001;LINO, SEMI
380;LIQUIRIZIA DOLCE       ;100;8,4;349;1460;3,7;0;3,7;5,2;0;5,2;3,6;1,2;1,2;0,1;0,1;0;0,2;0;76,7;9,4;62,4;2;0;7,3;170;57;600;44;0,5;0;0;0;0;0;0;0;0;0;0;0;1;12983;14004;LIQUIRIZIA DOLCE
381;LIQUORI DA DESSERT (tra 31 e 35 %vol) ;100;40,8;313;1310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;31;0;28,2;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4004;17002;LIQUORI DA DESSERT (tra 31 e 35 %vol)
382;LUCCIO        ;56;79;80;335;18,7;18,7;0;0,6;0,6;0;0,1;0,07;0,14;0,03;0,02;0,13;0,18;34;0;0;0;0;0;1,1;20;63;250;220;1,1;0,09;0,07;1,7;4;0,12;15;0;0;0;0,17;10,6;1;1311;11001;LUCCIO [ESOX LUCIUS]
383;LUMACA        ;24;82,8;98;410;12,9;12,9;0;1,7;1,7;0;0,13;0,03;0,12;0,02;0;0,08;0,1;65;7,8;0;0;0;0;5;57;206;347;141;1,6;0,03;0,11;1,1;0;0,34;6;60;60;0;0,13;1,1;1;1088;10007;LUMACA [HELIX POMATIA]
384;LUMACHE DI MARE      ;24;66;137;573;23,8;23,8;0;0,4;0,4;0;0,03;0,01;0,03;0;0;0,02;0,02;65;7,8;0;0;0;0;5;57;206;347;141;1,6;0,03;0,11;1,1;4;0,34;6;26;26;0;0,13;0;1;602073;11002;LUMACHE DI MARE [BUCCINIDAE spp]
385;LUPINI  DEAMARIZZATI     ;76;69;114;477;16,4;0;16,4;2,4;0;2,4;0,28;0,88;0,97;0,49;0,11;0;0,6;0;7,2;6,7;0,5;4,8;0;5,5;45;5;351;100;1,6;0,1;0,01;0,2;2;0,12;123;9;0;54;0;0;1;205;3001;LUPINI [LUPINUS ALBUS] DEAMARIZZATI
386;MACEDONIA DI FRUTTA IN SCATOLA    ;100;81,8;57;238;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;14,8;0;14,8;1;0;0,3;5;3;95;9;0,1;0,02;0,01;0,4;4;0,03;5;9;0;54;0;0;1;900864;4002;MACEDONIA DI FRUTTA IN SCATOLA
387;MAGGIORANA   secca     ;100;7,6;271;1134;12,7;0;12,7;7;0;7;1,17;2,54;2,61;1,02;0,07;0,01;1,1;0;42,5;0;42,5;18,1;0;82,7;1990;77;1520;310;3,6;0,29;0,32;4,1;0;0;0;807;0;4840;9,15;0;1;8010;24001;MAGGIORANA [MAJORANA HORTENSIS], secca
388;MAIONESE        ;100;15,1;655;2741;4,2;4,2;0;70;4,8;65,2;8,82;23,22;23,7;33,07;0,24;0,04;33,35;70;2,2;0;2,2;0;0;0,5;18;450;16;28;0,5;0,02;0,04;0;0;0,01;4;103;86;100;18,99;0,3;1;3004;24012;MAIONESE
389;MAIS        ;100;12,5;355;1485;9,2;0;9,2;3,8;0;3,8;0,48;0,87;0,87;1,42;0,25;0;1,67;0;75,8;73,3;2,5;2,9;0;2,4;15;35;287;256;2,2;0,36;0,2;1,5;0;0,62;0;62;0;372;0,75;0;1;3;8001;MAIS [ZEA MAYS]
390;MAIS DOLCE IN SCATOLA     ;82;72,3;122;510;2,9;0;2,9;1,2;0;1,2;0,15;0,27;0,27;0,45;0,08;0;0,53;0;26,6;16,6;9,6;3,9;0;0,5;4;270;220;79;0,5;0,04;0,06;1,5;1;0,13;8;18;0;110;0,46;0;1;9039;8001;MAIS DOLCE IN SCATOLA
391;MAIS DOLCE, crudo      ;100;76;93;389;3,4;0;3,4;1,8;0;1,8;0,23;0,41;0,41;0,67;0,12;0;0,79;0;17;14,6;2;3,3;0;0,7;3;1;260;91;0,4;0,16;0,05;1,9;8;0,15;41;16;0;97;0,69;0;1;50086;8001;MAIS DOLCE, crudo
392;MANDARANCI e CLEMENTINE      ;87;85,3;53;222;0,8;0;0,8;0,2;0;0,2;0,02;0,03;0,04;0,03;0,01;0;0,04;0;12,8;0;12,8;2,2;0;0,3;30;2;160;19;0,1;0,08;0,07;0,3;37;0,07;33;25;0;150;0,24;0;1;416;4001;MANDARANCI e CLEMENTINE
393;MANDARINI        ;80;81,4;72;301;0,9;0;0,9;0,3;0;0,3;0,04;0,05;0,06;0,05;0,02;0;0,07;0;17,6;0;17,6;1,7;0;0,3;32;1;210;19;0,1;0,08;0,07;0,3;42;0,1;49;18;0;108;0,24;0;1;417;4001;MANDARINI [CITRUS NOBILIS]
394;MANDORLE DOLCI       ;24;11,7;542;2268;16;0;16;51,5;0;51,5;4,27;36,38;36,73;9,82;0,28;0;10,1;0;4;0;4;14,3;0;4,6;236;6;860;508;3,1;0,3;0,44;2,1;0;0,15;48;0;0;0;23,96;0;1;508;4003;MANDORLE DOLCI [PRUNUS COMMUNIS]
395;MANGO        ;100;82,4;57;238;0,7;0;0,7;0,2;0;0,2;0,05;0,04;0,07;0,01;0,03;0;0,04;0;14,1;0,3;13,8;2,9;0;0,7;12;2;180;16;0,1;0,04;0,05;0,5;37;0,13;36;300;0;1800;1,05;0;1;805867;4001;MANGO [MANGIFERA INDICA]
396;MARGARINA        ;100;13;760;3180;0,6;0,4;0,2;84;56;28;26,41;32,05;36,78;16,62;1,02;0;17,64;50;0,4;0;0,4;0;0;0;20;800;5;16;0;0;0;0;0;0;0;75;72;20;12,3;0;1;900;13001;MARGARINA
397;MARGARINA VEGETALE       ;100;16;746;3121;0;0;0;82,8;0;82,8;17,1;26,3;26,7;33,8;2,1;0;35,9;0;0,2;0;0,2;0;0;0,3;4;680;5;12;0;0;0;0;0;0;0;0;0;0;32,6;0;1;8028;13002;MARGARINA VEGETALE
398;MARMELLATA (ALBIC.,FICHI,MELE COT.,PESCHE, PRUGNE]     ;100;41;209;874;0,6;0;0,6;0;0;0;0;0;0;0;0;0;0;0;55,2;0;55,2;2,2;0;0,8;10;7;90;11;0;0,02;0,03;0,8;3;0;0;60;0;359;0;0;1;100191;14005;MARMELLATA (ALBIC.,FICHI,MELE COT.,PESCHE, PRUGNE]
399;MARMELLATA (AMARENE,CILIEGE,UVA,MARASCHE)       ;100;33;236;987;0,6;0;0,6;0;0;0;0;0;0;0;0;0;0;0;62,3;0;62,3;2,4;0;2;26;11;83;12;0,1;0,05;0,03;0,9;8;0;0;0;0;0;0;0;1;100192;14005;MARMELLATA (AMARENE,CILIEGE,UVA,MARASCHE)
400;MARMELLATA (NORMALI E TIPO FRUTTA VIVA)   ;100;36;222;929;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;0;58,7;0;58,7;2,2;0;1,4;18;12;100;7;0,2;0,02;0,02;0,9;4;0;0;0;0;0;0;0;1;2013;14005;MARMELLATA (NORMALI E TIPO FRUTTA VIVA)
401;MARMELLATA A RIDOTTO TENORE DI ZUCCHERO   ;100;65,3;123;515;0,5;0;0,5;0,1;0;0,1;0;0;0;0;0;0;0;0;31,9;0;31,9;0,8;0;0,4;19;20;120;15;0;0;0;0;26;0;0;4;0;26;0,14;0;1;9026;14005;MARMELLATA A RIDOTTO TENORE DI ZUCCHERO
402;MARMELLATA DI ALBICOCCHE      ;100;34,5;242;1013;0,7;0;0,7;0,2;0;0,2;0,01;0,02;0,11;0;0;0;0;0;63,2;0;63,2;1,2;0;0,5;20;40;77;11;0,1;0;0,02;0,4;9;0,02;33;20;0;120;0;0;1;805941;14005;MARMELLATA DI ALBICOCCHE
403;MARMELLATA DI ARANCE      ;100;28;261;1092;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;69,5;0;69,5;0,7;0;0,6;35;18;44;13;0,1;0;0;0;10;0;5;8;0;50;0;0;1;100193;14005;MARMELLATA DI ARANCE
404;MARMELLATA DI PRUGNE      ;100;63,4;134;561;2,1;0;2,1;0,6;0;0,6;0,03;0,06;0,33;0;0;0;0;0;31,2;0;31,2;2,6;0;1;39;10;344;28;0,1;0,01;0,02;1,8;20;0,02;33;41;0;246;0;0;1;805951;14005;MARMELLATA DI PRUGNE
405;MARSALA ALL'UOVO       ;100;0;150;628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,4;0;12,4;0;14,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4005;17002;MARSALA ALL'UOVO
406;MARSALA TIPICO       ;100;57,7;205;858;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;28;0;28;0;14,2;0,4;4;4;97;12;0;0;0,01;0,1;0;0,01;0;0;0;0;0;0;1;4006;17002;MARSALA TIPICO
407;MASCARPONE        ;100;44,4;453;1895;7,6;7,6;0;47;47;0;29,17;12,86;15,21;0,97;0,69;0;1,66;95;0;0;0;0;0;0,2;68;86;53;97;0,4;0,01;0,22;0,1;0;0,04;11;353;310;258;1;0,28;1;1717;7001;MASCARPONE
408;MELA        ;94;85,6;45;188;0,2;0;0,2;0,3;0;0,3;0,07;0,02;0,02;0,13;0,03;0;0,16;0;11;0;11;2;0;0,3;6;2;120;12;0,1;0,02;0,02;0,3;5;0,11;1;8;0;48;0,59;0;1;419;4001;MELA [PYRUS MALUS]
409;MELA  polpa secca      ;100;31,8;243;1017;0,9;0;0,9;0,3;0;0,3;0,05;0,01;0,01;0,08;0,02;0;0,09;0;57,2;0;57,2;8,7;0;1,4;14;87;450;38;0,2;0;0,16;0,9;4;0,13;0;0;0;0;0,55;0;1;19047;4003;MELA, polpa secca
410;MELA COTOGNA       ;79;84,3;34;142;0,3;0;0,3;1;0;1;0,1;0,36;0,36;0,49;0;0;0,5;0;6,3;0;6,3;5,9;0;0,1;4;3;200;14;0,5;0,02;0,03;0,7;14;0,04;3;0;0;0;0,55;0;1;420;4001;MELA COTOGNA [PYRUS CYDONIA]
411;MELAGRANE        ;59;80,5;63;264;0,5;0;0,5;0,2;0;0,2;0,03;0,03;0,03;0,04;0;0;0,04;0;15,9;0;15,9;2,2;0;0,3;0;7;290;10;0,4;0,09;0,09;0,2;8;0,31;6;0;0;0;0,55;0;1;418;4001;MELAGRANE [PUNICA GRANATUM]
412;MELANZANE        ;92;92,7;15;63;1,1;0;1,1;0,1;0;0,1;0,02;0,01;0,01;0,03;0,01;0;0,04;0;2,6;0;2,6;2,6;0;0,3;14;26;184;33;0,2;0,05;0,05;0,6;11;0,08;18;0;0;0;0,03;0;1;334;2009;MELANZANE [SOLANUM MELONGEA]
413;MELANZANE SOTT'OLIO       ;100;89,1;49;205;1,1;0;1,1;4;0;4;0,46;1,29;1,31;1,98;0,02;0;2;0;2,5;0;2,5;2,5;0;0,3;13;25;177;32;0,2;0,05;0,05;0,6;11;0,08;17;0;0;0;1,95;0;1;900616;2010;MELANZANE SOTT'OLIO
414;MELONE D'ESTATE       ;47;90,1;33;138;0,8;0;0,8;0,2;0;0,2;0,05;0;0;0,03;0,04;0;0,08;0;7,4;0;7,4;0,9;0;0,3;19;8;333;13;0,3;0,05;0,04;0,6;32;0,11;4;189;0;1134;0,12;0;1;421;4001;MELONE D'ESTATE [CUCUMIS MELO]
415;MELONE D'INVERNO       ;51;94,1;22;92;0,5;0;0,5;0,2;0;0,2;0,05;0;0;0,03;0,04;0;0,08;0;4,9;0;4,9;0,7;0;0,3;21;24;159;16;0;0,01;0,02;0,5;12;0,05;2;5;0;30;0,08;0;1;422;4001;MELONE D'INVERNO [CUCUMIS MELO, CV INDORUS]
416;MELU' O PESCE MOLO     ;65;80,5;72;301;17,4;17,4;0;0,3;0,3;0;0,06;0,02;0,07;0;0;0,12;0,12;50;0;0;0;0;0;1;31;72;356;218;0,4;0,05;0,08;1,7;2;0,18;12;0;0;0;0,44;0;1;1312;11001;MELU' O PESCE MOLO [GADUS POTASSOU]
417;MENTA   fresca     ;100;86,4;43;180;3,8;0;3,8;0,7;0;0,7;0,12;0,26;0,27;0,11;0,01;0;0,11;0;5,3;0;5,3;5,6;0;9,5;210;15;260;75;0,9;0,12;0,33;1,1;31;0,09;110;123;0;740;5;0;1;8008;24001;MENTA [MENTHA SPICATA], fresca
418;MENTA  secca       ;100;11,3;279;1167;24,8;0;24,8;4,6;0;4,6;0,76;1,69;1,75;0,7;0,06;0;0,76;0;34,6;0;34,6;44,7;0;6,2;1370;98;1700;490;3,8;0,12;0,33;1,1;0;0,38;110;805;0;4830;5;0;1;8009;24001;MENTA, secca
419;MERENDINE AL CIOCCOLATO      ;100;23;352;1473;6,5;3,6;2,9;9,5;6,8;2,7;3,78;3,35;3,73;1,33;0,1;0,01;1,44;46;60;26;34;2,8;0;2,2;43;157;200;122;0,7;0,03;0,13;0,6;0;0,03;8;28;26;11;1,41;0,25;1;19048;15008;MERENDINE AL CIOCCOLATO
420;MERENDINE CON MARMELLATA      ;100;19,7;359;1502;5,5;3,8;1,7;8,3;7,9;0,4;2,45;2,95;3,25;1,06;0,05;0,06;1,17;188;69,8;23,3;46,5;1;0;0,8;11;130;98;55;0,7;0,07;0,17;0,3;0;0,05;13;79;74;29;0,73;0,5;1;2015;15008;MERENDINE CON MARMELLATA
421;MERENDINE FARCITE       ;100;14,2;414;1732;6,2;4,3;1,9;15,1;14,5;0,6;5,51;3,4;6,53;0,75;0,02;1,43;2,2;152;67,6;21,9;45,7;1;0;1,8;17;350;180;172;0,7;0,09;0,12;0,5;0;0,06;10;311;275;215;2,83;2,61;1;2016;15008;MERENDINE FARCITE
422;MERENDINE TIPO PAN DI SPAGNA    ;100;13;463;1937;8,3;4,5;3,8;22,3;15,6;6,7;8,14;5,01;9,38;1,1;0,03;2,11;3,25;128;60,9;40;20,9;2,5;0;1,3;10;350;103;117;0,7;0,09;0,12;0,5;0;0,06;10;280;262;96;2,83;2,61;1;2014;15001;MERENDINE TIPO PAN DI SPAGNA
423;MERINGA        ;100;2,2;379;1586;5,3;5,3;0;0;0;0;0;0;0;0;0;0;0;0;95,4;0;95,4;0;0;0,1;4;110;90;19;0,2;0;0,24;0,1;0;0,01;6;0;0;0;0;0;1;900505;15004;MERINGA
424;MERLUZZO        ;76;81,5;71;297;17;17;0;0,3;0,3;0;0,06;0,02;0,07;0;0;0,12;0,12;50;0;0;0;0;0;0,7;25;77;320;194;0,4;0,05;0,08;2,2;0;0,18;12;0;0;0;0,19;0;1;1313;11001;MERLUZZO [MERLUCCIUS MERLUCCIUS]
425;MERLUZZO SURGELATO       ;75;80,8;75;314;17,3;17,3;0;0,6;0,6;0;0,11;0,04;0,14;0;0;0,24;0,24;39;0;0;0;0;0;0,3;32;77;320;188;0,4;0,03;0,12;1,2;0;0,18;6;0;0;0;0,44;0;1;1402;11001;MERLUZZO SURGELATO
